facility_id,sector,subsector,state,primary_fuel,data_status,dataset_provenance_id,annual_production_kt,production_tonnes,electricity_intensity_kwh_t,thermal_intensity_gj_t,renewable_electricity_pct,clinker_factor_pct,scope1_emissions_tco2e,scope2_emissions_tco2e,total_emissions_tco2e,actual_gei,target_gei,gei_unit,surplus_shortfall_tco2e,compliance_status,year_offset
SYN-CHL-F0001,chlor_alkali,bipolar_membrane_cell,Punjab,furnace_oil,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,303.74,303744.3,2629.6,2.21,22.0,0.0,52348.0,445947.0,498295.0,1.6426,1.3167,tCO2e/t-NaOH,-98976.0,POTENTIAL_SHORTFALL,0
SYN-CHL-F0001,chlor_alkali,bipolar_membrane_cell,Punjab,furnace_oil,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,245.49,245489.1,2710.8,2.139,20.7,0.0,40966.0,377939.0,418905.0,1.7037,1.3167,tCO2e/t-NaOH,-95008.0,POTENTIAL_SHORTFALL,1
SYN-CHL-F0001,chlor_alkali,bipolar_membrane_cell,Punjab,furnace_oil,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,264.11,264113.3,2653.0,2.228,20.8,0.0,45899.0,397361.0,443261.0,1.7342,1.3167,tCO2e/t-NaOH,-110274.0,POTENTIAL_SHORTFALL,2
SYN-CHL-F0001,chlor_alkali,bipolar_membrane_cell,Punjab,furnace_oil,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,332.02,332022.4,2798.6,2.194,22.1,0.0,56820.0,517945.0,574766.0,1.7388,1.3167,tCO2e/t-NaOH,-140142.0,POTENTIAL_SHORTFALL,3
SYN-CHL-F0001,chlor_alkali,bipolar_membrane_cell,Punjab,furnace_oil,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,271.12,271122.6,2920.2,2.219,20.1,0.0,46925.0,452906.0,499831.0,1.801,1.3167,tCO2e/t-NaOH,-131301.0,POTENTIAL_SHORTFALL,4
SYN-CHL-F0001,chlor_alkali,bipolar_membrane_cell,Punjab,furnace_oil,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,258.61,258607.9,2612.0,2.214,20.3,0.0,44660.0,385347.0,430008.0,1.6892,1.3167,tCO2e/t-NaOH,-96331.0,POTENTIAL_SHORTFALL,5
SYN-CHL-F0001,chlor_alkali,bipolar_membrane_cell,Punjab,furnace_oil,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,288.66,288662.3,2746.2,2.306,22.1,0.0,51918.0,442219.0,494138.0,1.6849,1.3167,tCO2e/t-NaOH,-106274.0,POTENTIAL_SHORTFALL,6
SYN-CHL-F0001,chlor_alkali,bipolar_membrane_cell,Punjab,furnace_oil,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,251.55,251549.7,2685.7,2.271,22.7,0.0,44561.0,374025.0,418586.0,1.725,1.3167,tCO2e/t-NaOH,-102697.0,POTENTIAL_SHORTFALL,7
SYN-CHL-F0001,chlor_alkali,bipolar_membrane_cell,Punjab,furnace_oil,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,260.98,260977.6,2758.0,2.241,20.4,0.0,45618.0,410197.0,455815.0,1.7734,1.3167,tCO2e/t-NaOH,-119188.0,POTENTIAL_SHORTFALL,8
SYN-CHL-F0001,chlor_alkali,bipolar_membrane_cell,Punjab,furnace_oil,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,281.34,281339.8,2702.4,2.163,20.3,0.0,47472.0,433712.0,481184.0,1.6634,1.3167,tCO2e/t-NaOH,-97529.0,POTENTIAL_SHORTFALL,9
