facility_id,sector,subsector,state,primary_fuel,data_status,dataset_provenance_id,annual_production_kt,production_tonnes,electricity_intensity_kwh_t,thermal_intensity_gj_t,renewable_electricity_pct,clinker_factor_pct,scope1_emissions_tco2e,scope2_emissions_tco2e,total_emissions_tco2e,actual_gei,target_gei,gei_unit,surplus_shortfall_tco2e,compliance_status,year_offset
SYN-CHL-F0784,chlor_alkali,monopolar_membrane,Tamil Nadu,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,206.68,206680.3,2870.1,2.483,23.5,0.0,28634.0,324940.0,353574.0,1.7161,1.4677,tCO2e/t-NaOH,-51339.0,POTENTIAL_SHORTFALL,1
SYN-PET-F0002,petrochemicals,dual_feed_cracker,Madhya Pradesh,furnace_oil,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,477.88,477880.1,397.8,5.596,13.1,0.0,208587.0,118341.0,326928.0,0.7027,0.6597,tCO2e/t-output,-20555.0,POTENTIAL_SHORTFALL,12
SYN-PET-F0583,petroleum_refinery,inland_refinery,West Bengal,furnace_oil,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,7218.96,7218958.5,38.7,2.513,9.7,0.0,1415039.0,180489.0,1595528.0,0.2232,0.1716,tCO2e/t-crude,-372514.0,POTENTIAL_SHORTFALL,18
SYN-FER-F0044,fertiliser,ammonia_urea_integrated,Haryana,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,1877.15,1877146.3,368.0,32.616,14.3,0.0,3416306.0,423867.0,3840173.0,2.1189,1.7523,tCO2e/t-ammonia,-688217.0,POTENTIAL_SHORTFALL,16
SYN-PET-F0550,petrochemicals,naphtha_cracker,Haryana,imported_coal_indonesian,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,337.53,337529.7,543.4,11.401,8.4,0.0,359817.0,120244.0,480061.0,1.4191,1.3876,tCO2e/t-output,-10644.0,POTENTIAL_SHORTFALL,9
SYN-ALU-F0216,aluminium,integrated_smelter_refinery,Uttar Pradesh,imported_coal_indonesian,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,274.69,274692.6,14825.6,3.534,18.0,0.0,535778.0,2391687.0,2927466.0,10.7609,7.936,tCO2e/t-aluminium,-775973.0,POTENTIAL_SHORTFALL,17
SYN-IRO-F1077,iron_steel,dri_eaf,Jharkhand,imported_coal_indonesian,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,2514.83,2514825.9,632.6,19.388,3.7,0.0,4558899.0,1096746.0,5655645.0,2.1646,1.9042,tCO2e/t-steel,-654860.0,POTENTIAL_SHORTFALL,0
SYN-PET-F0271,petroleum_refinery,lube_specialty_refinery,Punjab,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3438.36,3438359.9,56.2,2.333,7.4,0.0,447548.0,128088.0,575636.0,0.167,0.2267,tCO2e/t-crude,205208.0,POTENTIAL_SURPLUS,1
SYN-PET-F0516,petrochemicals,dual_feed_cracker,West Bengal,furnace_oil,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,1003.36,1003355.7,500.9,6.202,1.9,0.0,485411.0,352859.0,838270.0,0.7949,1.1595,tCO2e/t-output,365798.0,POTENTIAL_SURPLUS,8
SYN-PET-F0440,petroleum_refinery,lube_specialty_refinery,Chhattisgarh,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,6882.5,6882499.2,76.3,3.41,3.5,0.0,1309585.0,362820.0,1672404.0,0.2463,0.1581,tCO2e/t-crude,-606978.0,POTENTIAL_SHORTFALL,18
