code,sector,title,type,applicable_technologies,status,source_version,source_url
BM EN01.001,Energy,Grid-connected electricity generation from renewable sources,Emission Reduction,Solar PV; Wind; Small Hydro; Biomass Power,APPROVED,BEE-OFFSET-METH-2026-07,https://beeindia.gov.in/view_content.php?lang=1&lid=571
BM EN01.002,Energy,Hydrogen production from electrolysis of water,Emission Avoidance,Green Hydrogen Electrolyser; PEM / Alkaline,APPROVED,BEE-OFFSET-METH-2026-07,https://beeindia.gov.in/view_content.php?lang=1&lid=571
BM IN02.001,Industries,Energy efficiency and fuel switching measures for industrial facilities,Emission Reduction,Waste Heat Recovery (WHR); VFDs; AFR Kiln Co-processing; Electrification,APPROVED,BEE-OFFSET-METH-2026-07,https://beeindia.gov.in/view_content.php?lang=1&lid=571
BM IN02.002,Industries,Hydrogen production using methane extracted from biogas,Emission Reduction,Biogas Reforming; Bio-Hydrogen,APPROVED,BEE-OFFSET-METH-2026-07,https://beeindia.gov.in/view_content.php?lang=1&lid=571
BM WA03.001,Waste Handling and Disposal,Landfill methane recovery,Methane Capture,Landfill Gas Capture Wells; Power Generation,APPROVED,BEE-OFFSET-METH-2026-07,https://beeindia.gov.in/view_content.php?lang=1&lid=571
BM WA03.002,Waste Handling and Disposal,Flaring or use of landfill gas,Methane Destruction,High-Efficiency Flares; Boiler Fuel,APPROVED,BEE-OFFSET-METH-2026-07,https://beeindia.gov.in/view_content.php?lang=1&lid=571
BM AG04.001,Agriculture,Methane recovery from livestock and manure management at households and small farms,Methane Capture,Community Biogas Digesters; Slurry Management,APPROVED,BEE-OFFSET-METH-2026-07,https://beeindia.gov.in/view_content.php?lang=1&lid=571
BM FR05.001,Forestry,Afforestation and reforestation of degraded mangrove habitats,Carbon Removal,Blue Carbon Coastal Mangrove Restoration,APPROVED,BEE-OFFSET-METH-2026-07,https://beeindia.gov.in/view_content.php?lang=1&lid=571
BM FR05.002,Forestry,Afforestation and reforestation of lands except wetlands,Carbon Removal,Agroforestry; Social Forestry; Wasteland Afforestation,APPROVED,BEE-OFFSET-METH-2026-07,https://beeindia.gov.in/view_content.php?lang=1&lid=571
BM AG04.002,Agriculture,Emission reduction through improved management practices in rice cultivation,Methane Avoidance,Alternate Wetting and Drying (AWD); Direct Seeded Rice (DSR),APPROVED,BEE-OFFSET-METH-2026-07,https://beeindia.gov.in/view_content.php?lang=1&lid=571
BM WA03.003,Waste Handling and Disposal,Production of Compressed Bio-gas (CBG),Methane Recovery & Biofuel,Anaerobic Digestion + Pressure Swing Adsorption,APPROVED,BEE-OFFSET-METH-2026-07,https://beeindia.gov.in/view_content.php?lang=1&lid=571
BM EN01.003,Energy,Electricity and Heat Generation from Biomass,Fuel Switching,Biomass Cogeneration; Agricultural Residue Boilers,APPROVED,BEE-OFFSET-METH-2026-07,https://beeindia.gov.in/view_content.php?lang=1&lid=571
