facility_id,sector,subsector,state,primary_fuel,data_status,dataset_provenance_id,annual_production_kt,production_tonnes,electricity_intensity_kwh_t,thermal_intensity_gj_t,renewable_electricity_pct,clinker_factor_pct,scope1_emissions_tco2e,scope2_emissions_tco2e,total_emissions_tco2e,actual_gei,target_gei,gei_unit,surplus_shortfall_tco2e,compliance_status,year_offset
SYN-CEM-F0001,cement,blended_cement_plant,Punjab,indian_domestic_coal,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3384.73,3384729.6,91.6,3.529,22.5,75.9,2513046.0,171976.0,2685022.0,0.7934,0.7549,tCO2e/t-cement,-130429.0,POTENTIAL_SHORTFALL,0
SYN-CEM-F0001,cement,blended_cement_plant,Punjab,indian_domestic_coal,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3518.3,3518303.9,87.0,3.469,19.3,65.8,2405995.0,176889.0,2582884.0,0.7336,0.7549,tCO2e/t-cement,74800.0,POTENTIAL_SURPLUS,1
SYN-CEM-F0001,cement,blended_cement_plant,Punjab,indian_domestic_coal,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3925.73,3925732.8,91.9,3.549,19.9,66.1,2720879.0,206804.0,2927683.0,0.7553,0.7549,tCO2e/t-cement,-1762.0,POTENTIAL_SHORTFALL,2
SYN-CEM-F0001,cement,blended_cement_plant,Punjab,indian_domestic_coal,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3592.06,3592064.0,94.4,3.504,20.6,79.4,2725259.0,192902.0,2918161.0,0.8059,0.7549,tCO2e/t-cement,-183018.0,POTENTIAL_SHORTFALL,3
SYN-CEM-F0001,cement,blended_cement_plant,Punjab,indian_domestic_coal,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3344.85,3344849.2,91.7,3.534,18.9,86.9,2678414.0,177973.0,2856387.0,0.8318,0.7549,tCO2e/t-cement,-257332.0,POTENTIAL_SHORTFALL,4
SYN-CEM-F0001,cement,blended_cement_plant,Punjab,indian_domestic_coal,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3612.03,3612028.2,89.5,3.643,20.1,87.4,2939561.0,184777.0,3124338.0,0.8431,0.7549,tCO2e/t-cement,-318684.0,POTENTIAL_SHORTFALL,5
SYN-CEM-F0001,cement,blended_cement_plant,Punjab,indian_domestic_coal,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3741.7,3741701.4,105.4,3.483,21.1,87.8,2995615.0,222836.0,3218451.0,0.867,0.7549,tCO2e/t-cement,-419278.0,POTENTIAL_SHORTFALL,6
SYN-CEM-F0001,cement,blended_cement_plant,Punjab,indian_domestic_coal,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3727.54,3727540.4,88.7,3.716,23.9,82.4,2963745.0,180351.0,3144096.0,0.8458,0.7549,tCO2e/t-cement,-338839.0,POTENTIAL_SHORTFALL,7
SYN-CEM-F0001,cement,blended_cement_plant,Punjab,indian_domestic_coal,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3639.74,3639744.4,92.1,3.229,21.6,70.5,2493203.0,188140.0,2681343.0,0.7227,0.7549,tCO2e/t-cement,117081.0,POTENTIAL_SURPLUS,8
SYN-CEM-F0001,cement,blended_cement_plant,Punjab,indian_domestic_coal,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3741.99,3741986.5,91.8,3.567,23.8,79.7,2866766.0,187428.0,3054194.0,0.8028,0.7549,tCO2e/t-cement,-179391.0,POTENTIAL_SHORTFALL,9
