facility_id,sector,subsector,state,primary_fuel,data_status,dataset_provenance_id,annual_production_kt,production_tonnes,electricity_intensity_kwh_t,thermal_intensity_gj_t,renewable_electricity_pct,clinker_factor_pct,scope1_emissions_tco2e,scope2_emissions_tco2e,total_emissions_tco2e,actual_gei,target_gei,gei_unit,surplus_shortfall_tco2e,compliance_status,year_offset
SYN-PET-F0001,petroleum_refinery,high_complexity_coastal,Chhattisgarh,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3825.36,3825362.4,66.8,3.4,1.4,0.0,725644.0,180526.0,906170.0,0.2413,0.2508,tCO2e/t-crude,36357.0,POTENTIAL_SURPLUS,0
SYN-PET-F0001,petroleum_refinery,high_complexity_coastal,Chhattisgarh,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,4037.9,4037902.6,75.7,3.258,3.8,0.0,734020.0,210564.0,944584.0,0.2293,0.2508,tCO2e/t-crude,86683.0,POTENTIAL_SURPLUS,1
SYN-PET-F0001,petroleum_refinery,high_complexity_coastal,Chhattisgarh,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3454.11,3454111.7,74.1,3.557,2.1,0.0,685609.0,179438.0,865048.0,0.2566,0.2508,tCO2e/t-crude,-20184.0,POTENTIAL_SHORTFALL,2
SYN-PET-F0001,petroleum_refinery,high_complexity_coastal,Chhattisgarh,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3601.6,3601602.6,77.4,3.559,2.3,0.0,715329.0,194970.0,910299.0,0.253,0.2508,tCO2e/t-crude,-7958.0,POTENTIAL_SHORTFALL,3
SYN-PET-F0001,petroleum_refinery,high_complexity_coastal,Chhattisgarh,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3849.87,3849868.4,71.6,3.325,1.5,0.0,714355.0,194598.0,908952.0,0.2281,0.2508,tCO2e/t-crude,87501.0,POTENTIAL_SURPLUS,4
SYN-PET-F0001,petroleum_refinery,high_complexity_coastal,Chhattisgarh,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3351.6,3351597.1,70.9,3.246,4.3,0.0,607058.0,162935.0,769993.0,0.2338,0.2508,tCO2e/t-crude,57075.0,POTENTIAL_SURPLUS,5
SYN-PET-F0001,petroleum_refinery,high_complexity_coastal,Chhattisgarh,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3935.16,3935164.1,68.9,3.266,2.4,0.0,717107.0,189430.0,906537.0,0.2254,0.2508,tCO2e/t-crude,99817.0,POTENTIAL_SURPLUS,6
SYN-PET-F0001,petroleum_refinery,high_complexity_coastal,Chhattisgarh,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3507.47,3507467.9,75.8,3.213,1.3,0.0,628762.0,187925.0,816688.0,0.2336,0.2508,tCO2e/t-crude,60204.0,POTENTIAL_SURPLUS,7
SYN-PET-F0001,petroleum_refinery,high_complexity_coastal,Chhattisgarh,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3425.33,3425327.7,73.4,3.305,1.8,0.0,631660.0,176757.0,808418.0,0.2324,0.2508,tCO2e/t-crude,63026.0,POTENTIAL_SURPLUS,8
SYN-PET-F0001,petroleum_refinery,high_complexity_coastal,Chhattisgarh,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3817.89,3817889.1,70.7,3.3,3.0,0.0,702947.0,187597.0,890544.0,0.2354,0.2508,tCO2e/t-crude,58695.0,POTENTIAL_SURPLUS,9
SYN-PET-F0001,petroleum_refinery,high_complexity_coastal,Chhattisgarh,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3763.02,3763019.9,68.4,3.345,2.2,0.0,702412.0,180224.0,882636.0,0.2373,0.2508,tCO2e/t-crude,50647.0,POTENTIAL_SURPLUS,10
SYN-PET-F0001,petroleum_refinery,high_complexity_coastal,Chhattisgarh,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3705.37,3705373.6,71.4,3.108,0.0,0.0,642568.0,189326.0,831893.0,0.2252,0.2508,tCO2e/t-crude,94730.0,POTENTIAL_SURPLUS,11
SYN-PET-F0001,petroleum_refinery,high_complexity_coastal,Chhattisgarh,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3357.07,3357068.8,70.6,3.159,1.8,0.0,591823.0,166653.0,758476.0,0.2208,0.2508,tCO2e/t-crude,100795.0,POTENTIAL_SURPLUS,12
SYN-PET-F0001,petroleum_refinery,high_complexity_coastal,Chhattisgarh,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3883.54,3883542.7,69.6,3.136,3.5,0.0,679637.0,186751.0,866388.0,0.2155,0.2508,tCO2e/t-crude,136955.0,POTENTIAL_SURPLUS,13
SYN-PET-F0001,petroleum_refinery,high_complexity_coastal,Chhattisgarh,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3118.22,3118217.9,67.5,3.197,1.2,0.0,556228.0,148811.0,705039.0,0.217,0.2508,tCO2e/t-crude,105311.0,POTENTIAL_SURPLUS,14
SYN-PET-F0001,petroleum_refinery,high_complexity_coastal,Chhattisgarh,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3639.17,3639174.9,73.8,3.335,3.5,0.0,677139.0,185555.0,862694.0,0.2315,0.2508,tCO2e/t-crude,70128.0,POTENTIAL_SURPLUS,15
SYN-PET-F0001,petroleum_refinery,high_complexity_coastal,Chhattisgarh,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3906.23,3906225.4,75.7,3.146,5.1,0.0,685675.0,200883.0,886558.0,0.2305,0.2508,tCO2e/t-crude,79139.0,POTENTIAL_SURPLUS,16
SYN-PET-F0001,petroleum_refinery,high_complexity_coastal,Chhattisgarh,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3317.74,3317744.4,72.1,3.443,3.1,0.0,637457.0,166045.0,803502.0,0.2418,0.2508,tCO2e/t-crude,29699.0,POTENTIAL_SURPLUS,17
SYN-PET-F0001,petroleum_refinery,high_complexity_coastal,Chhattisgarh,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,4134.72,4134721.9,68.7,3.439,2.5,0.0,793422.0,198097.0,991518.0,0.2341,0.2508,tCO2e/t-crude,68851.0,POTENTIAL_SURPLUS,18
SYN-PET-F0001,petroleum_refinery,high_complexity_coastal,Chhattisgarh,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,3436.31,3436306.1,71.3,3.624,2.0,0.0,694816.0,172001.0,866817.0,0.249,0.2508,tCO2e/t-crude,6148.0,POTENTIAL_SURPLUS,19
SYN-PET-F0002,petroleum_refinery,lube_specialty_refinery,Tamil Nadu,furnace_oil,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,4690.93,4690928.7,61.1,2.848,7.7,0.0,1042124.0,189592.0,1231716.0,0.2573,0.1653,tCO2e/t-crude,-431512.0,POTENTIAL_SHORTFALL,0
SYN-PET-F0002,petroleum_refinery,lube_specialty_refinery,Tamil Nadu,furnace_oil,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,5364.68,5364683.9,63.8,2.973,6.1,0.0,1243842.0,230210.0,1474052.0,0.2725,0.1653,tCO2e/t-crude,-575350.0,POTENTIAL_SHORTFALL,1
SYN-PET-F0002,petroleum_refinery,lube_specialty_refinery,Tamil Nadu,furnace_oil,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,5048.53,5048530.1,57.2,2.909,8.4,0.0,1145500.0,189476.0,1334976.0,0.2723,0.1653,tCO2e/t-crude,-540252.0,POTENTIAL_SHORTFALL,2
SYN-PET-F0002,petroleum_refinery,lube_specialty_refinery,Tamil Nadu,furnace_oil,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,4912.0,4912001.7,60.8,2.83,6.7,0.0,1084355.0,199459.0,1283814.0,0.2607,0.1653,tCO2e/t-crude,-468359.0,POTENTIAL_SHORTFALL,3
SYN-PET-F0002,petroleum_refinery,lube_specialty_refinery,Tamil Nadu,furnace_oil,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,4893.32,4893320.2,59.0,2.903,8.2,0.0,1107968.0,189687.0,1297655.0,0.2671,0.1653,tCO2e/t-crude,-498241.0,POTENTIAL_SHORTFALL,4
SYN-PET-F0002,petroleum_refinery,lube_specialty_refinery,Tamil Nadu,furnace_oil,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,5175.49,5175487.8,61.8,2.705,8.0,0.0,1092043.0,210595.0,1302637.0,0.2512,0.1653,tCO2e/t-crude,-444403.0,POTENTIAL_SHORTFALL,5
SYN-PET-F0002,petroleum_refinery,lube_specialty_refinery,Tamil Nadu,furnace_oil,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,4867.74,4867740.8,64.1,2.783,8.5,0.0,1056603.0,204250.0,1260852.0,0.2674,0.1653,tCO2e/t-crude,-496840.0,POTENTIAL_SHORTFALL,6
SYN-PET-F0002,petroleum_refinery,lube_specialty_refinery,Tamil Nadu,furnace_oil,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,5237.12,5237123.0,60.4,2.941,9.8,0.0,1201500.0,204205.0,1405705.0,0.275,0.1653,tCO2e/t-crude,-574697.0,POTENTIAL_SHORTFALL,7
SYN-PET-F0002,petroleum_refinery,lube_specialty_refinery,Tamil Nadu,furnace_oil,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,5182.41,5182411.5,57.2,2.593,5.1,0.0,1048043.0,201242.0,1249285.0,0.2416,0.1653,tCO2e/t-crude,-395530.0,POTENTIAL_SHORTFALL,8
SYN-PET-F0002,petroleum_refinery,lube_specialty_refinery,Tamil Nadu,furnace_oil,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,4741.06,4741058.8,54.6,2.927,5.7,0.0,1082330.0,174859.0,1257189.0,0.2747,0.1653,tCO2e/t-crude,-518440.0,POTENTIAL_SHORTFALL,9
