facility_id,sector,subsector,state,primary_fuel,data_status,dataset_provenance_id,annual_production_kt,production_tonnes,electricity_intensity_kwh_t,thermal_intensity_gj_t,renewable_electricity_pct,clinker_factor_pct,scope1_emissions_tco2e,scope2_emissions_tco2e,total_emissions_tco2e,actual_gei,target_gei,gei_unit,surplus_shortfall_tco2e,compliance_status,year_offset
SYN-TEX-F0001,textile,composite_wet_processing,Haryana,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,29.1,29100.7,5017.3,19.338,24.8,0.0,31402.0,78615.0,110017.0,3.8339,3.7678,tCO2e/t-textile,-1923.0,POTENTIAL_SHORTFALL,0
SYN-TEX-F0001,textile,composite_wet_processing,Haryana,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,30.8,30796.4,4686.1,20.629,22.6,0.0,35450.0,79958.0,115409.0,3.6893,3.7678,tCO2e/t-textile,2416.0,POTENTIAL_SURPLUS,1
SYN-TEX-F0001,textile,composite_wet_processing,Haryana,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,31.71,31711.3,5187.2,20.446,26.1,0.0,36179.0,87030.0,123209.0,4.0218,3.7678,tCO2e/t-textile,-8054.0,POTENTIAL_SHORTFALL,2
SYN-TEX-F0001,textile,composite_wet_processing,Haryana,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,34.66,34664.3,5129.8,20.556,24.5,0.0,39761.0,96179.0,135941.0,3.7353,3.7678,tCO2e/t-textile,1127.0,POTENTIAL_SURPLUS,3
SYN-TEX-F0001,textile,composite_wet_processing,Haryana,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,32.86,32861.9,5118.9,19.566,23.7,0.0,35878.0,91923.0,127801.0,3.8102,3.7678,tCO2e/t-textile,-1394.0,POTENTIAL_SHORTFALL,4
SYN-TEX-F0001,textile,composite_wet_processing,Haryana,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,24.99,24989.6,4809.8,21.813,23.0,0.0,30417.0,66262.0,96679.0,3.8935,3.7678,tCO2e/t-textile,-3140.0,POTENTIAL_SHORTFALL,5
SYN-TEX-F0001,textile,composite_wet_processing,Haryana,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,36.36,36364.4,4862.8,20.634,25.7,0.0,41869.0,94094.0,135964.0,3.7558,3.7678,tCO2e/t-textile,436.0,POTENTIAL_SURPLUS,6
SYN-TEX-F0001,textile,composite_wet_processing,Haryana,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,24.67,24670.5,5177.3,20.895,26.2,0.0,28764.0,67501.0,96265.0,4.0259,3.7678,tCO2e/t-textile,-6367.0,POTENTIAL_SHORTFALL,7
SYN-TEX-F0001,textile,composite_wet_processing,Haryana,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,30.61,30606.3,4936.5,22.214,24.8,0.0,37938.0,81344.0,119282.0,3.9868,3.7678,tCO2e/t-textile,-6702.0,POTENTIAL_SHORTFALL,8
SYN-TEX-F0001,textile,composite_wet_processing,Haryana,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,27.6,27604.6,5205.1,19.949,23.8,0.0,30728.0,78387.0,109116.0,4.079,3.7678,tCO2e/t-textile,-8590.0,POTENTIAL_SHORTFALL,9
SYN-TEX-F0001,textile,composite_wet_processing,Haryana,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,29.77,29770.8,5513.0,20.948,25.0,0.0,34799.0,88126.0,122925.0,4.1297,3.7678,tCO2e/t-textile,-10774.0,POTENTIAL_SHORTFALL,10
SYN-TEX-F0001,textile,composite_wet_processing,Haryana,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,31.32,31323.8,5133.2,22.165,25.6,0.0,38741.0,85661.0,124402.0,4.1138,3.7678,tCO2e/t-textile,-10838.0,POTENTIAL_SHORTFALL,11
SYN-TEX-F0001,textile,composite_wet_processing,Haryana,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,31.42,31419.2,4975.3,19.862,25.3,0.0,34822.0,83620.0,118442.0,3.6804,3.7678,tCO2e/t-textile,2747.0,POTENTIAL_SURPLUS,12
SYN-TEX-F0001,textile,composite_wet_processing,Haryana,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,27.06,27057.5,5197.6,21.135,24.8,0.0,31909.0,75748.0,107658.0,3.9527,3.7678,tCO2e/t-textile,-5002.0,POTENTIAL_SHORTFALL,13
SYN-TEX-F0001,textile,composite_wet_processing,Haryana,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,34.16,34162.0,5021.2,19.952,25.9,0.0,38034.0,90959.0,128993.0,3.8705,3.7678,tCO2e/t-textile,-3507.0,POTENTIAL_SHORTFALL,14
SYN-TEX-F0001,textile,composite_wet_processing,Haryana,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,30.06,30060.0,5200.4,20.317,25.4,0.0,34079.0,83550.0,117629.0,3.923,3.7678,tCO2e/t-textile,-4666.0,POTENTIAL_SHORTFALL,15
SYN-TEX-F0001,textile,composite_wet_processing,Haryana,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,31.15,31149.5,4859.1,20.769,25.6,0.0,36100.0,80641.0,116741.0,3.7133,3.7678,tCO2e/t-textile,1699.0,POTENTIAL_SURPLUS,16
SYN-TEX-F0001,textile,composite_wet_processing,Haryana,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,31.3,31298.9,4942.1,22.15,28.6,0.0,38684.0,79024.0,117709.0,3.8977,3.7678,tCO2e/t-textile,-4066.0,POTENTIAL_SHORTFALL,17
SYN-TEX-F0001,textile,composite_wet_processing,Haryana,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,27.72,27721.4,5135.4,21.727,26.5,0.0,33608.0,74885.0,108493.0,4.036,3.7678,tCO2e/t-textile,-7434.0,POTENTIAL_SHORTFALL,18
SYN-TEX-F0001,textile,composite_wet_processing,Haryana,natural_gas,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,29.67,29666.2,5144.8,20.538,23.6,0.0,33998.0,83531.0,117529.0,3.9601,3.7678,tCO2e/t-textile,-5704.0,POTENTIAL_SHORTFALL,19
SYN-TEX-F0002,textile,weaving_dyeing,Punjab,biomass,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,111.24,111242.6,4616.6,27.903,42.9,0.0,0.0,209811.0,209811.0,1.8034,4.2779,tCO2e/t-textile,275272.0,POTENTIAL_SURPLUS,0
SYN-TEX-F0002,textile,weaving_dyeing,Punjab,biomass,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,103.92,103923.6,4724.9,23.901,43.2,0.0,0.0,199723.0,199723.0,1.8877,4.2779,tCO2e/t-textile,248402.0,POTENTIAL_SURPLUS,1
SYN-TEX-F0002,textile,weaving_dyeing,Punjab,biomass,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,117.07,117066.8,4561.3,26.498,42.0,0.0,0.0,221770.0,221770.0,1.9207,4.2779,tCO2e/t-textile,275945.0,POTENTIAL_SURPLUS,2
SYN-TEX-F0002,textile,weaving_dyeing,Punjab,biomass,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,119.09,119090.3,4806.9,26.561,40.1,0.0,0.0,245558.0,245558.0,2.0072,4.2779,tCO2e/t-textile,270418.0,POTENTIAL_SURPLUS,3
SYN-TEX-F0002,textile,weaving_dyeing,Punjab,biomass,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,89.49,89494.3,4378.7,26.534,43.4,0.0,0.0,158687.0,158687.0,1.9063,4.2779,tCO2e/t-textile,212244.0,POTENTIAL_SURPLUS,4
SYN-TEX-F0002,textile,weaving_dyeing,Punjab,biomass,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,96.37,96370.5,4861.9,25.566,43.7,0.0,0.0,188780.0,188780.0,2.1413,4.2779,tCO2e/t-textile,205900.0,POTENTIAL_SURPLUS,5
SYN-TEX-F0002,textile,weaving_dyeing,Punjab,biomass,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,102.58,102581.5,4355.4,26.714,43.0,0.0,0.0,182196.0,182196.0,1.7761,4.2779,tCO2e/t-textile,256638.0,POTENTIAL_SURPLUS,6
SYN-TEX-F0002,textile,weaving_dyeing,Punjab,biomass,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,80.12,80124.7,4968.8,24.892,40.5,0.0,0.0,169481.0,169481.0,2.1005,4.2779,tCO2e/t-textile,174466.0,POTENTIAL_SURPLUS,7
SYN-TEX-F0002,textile,weaving_dyeing,Punjab,biomass,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,121.7,121703.9,4537.6,26.602,42.4,0.0,0.0,227770.0,227770.0,1.8527,4.2779,tCO2e/t-textile,295162.0,POTENTIAL_SURPLUS,8
SYN-TEX-F0002,textile,weaving_dyeing,Punjab,biomass,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,98.17,98172.8,4923.0,26.364,39.9,0.0,0.0,208095.0,208095.0,2.0869,4.2779,tCO2e/t-textile,215100.0,POTENTIAL_SURPLUS,9
SYN-TEX-F0002,textile,weaving_dyeing,Punjab,biomass,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,124.37,124371.9,4905.4,25.306,42.5,0.0,0.0,251362.0,251362.0,1.9878,4.2779,tCO2e/t-textile,284825.0,POTENTIAL_SURPLUS,10
SYN-TEX-F0002,textile,weaving_dyeing,Punjab,biomass,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,99.51,99508.5,4947.7,25.024,43.0,0.0,0.0,200882.0,200882.0,1.9582,4.2779,tCO2e/t-textile,230826.0,POTENTIAL_SURPLUS,11
SYN-TEX-F0002,textile,weaving_dyeing,Punjab,biomass,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,124.99,124993.6,4776.7,26.443,43.3,0.0,0.0,242303.0,242303.0,1.964,4.2779,tCO2e/t-textile,289219.0,POTENTIAL_SURPLUS,12
SYN-TEX-F0002,textile,weaving_dyeing,Punjab,biomass,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,105.04,105035.8,4806.4,24.241,44.7,0.0,0.0,199758.0,199758.0,1.9509,4.2779,tCO2e/t-textile,244414.0,POTENTIAL_SURPLUS,13
SYN-TEX-F0002,textile,weaving_dyeing,Punjab,biomass,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,83.6,83602.5,4857.3,24.931,41.3,0.0,0.0,170809.0,170809.0,2.0395,4.2779,tCO2e/t-textile,187139.0,POTENTIAL_SURPLUS,14
SYN-TEX-F0002,textile,weaving_dyeing,Punjab,biomass,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,128.91,128906.1,4697.9,26.317,44.1,0.0,0.0,242239.0,242239.0,1.8833,4.2779,tCO2e/t-textile,308685.0,POTENTIAL_SURPLUS,15
SYN-TEX-F0002,textile,weaving_dyeing,Punjab,biomass,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,123.14,123143.3,4625.1,24.667,41.7,0.0,0.0,237714.0,237714.0,1.9171,4.2779,tCO2e/t-textile,290716.0,POTENTIAL_SURPLUS,16
SYN-TEX-F0002,textile,weaving_dyeing,Punjab,biomass,CALIBRATED_SYNTHETIC,SYNTH-2026-08-v2-250K,113.93,113926.9,4419.0,25.941,43.3,0.0,0.0,204281.0,204281.0,1.8282,4.2779,tCO2e/t-textile,279081.0,POTENTIAL_SURPLUS,17
